ds;y
2022-7-15 16:50:0;2
2022-7-15 17:0:0;5
2022-7-15 17:10:0;4
2022-7-15 17:20:0;3
2022-7-15 17:27:0;1
2022-7-15 17:30:0;4
2022-7-15 17:40:0;2
2022-7-15 18:0:0;10
2022-7-15 18:10:0;3
2022-7-15 18:20:0;1
2022-7-15 18:30:0;3
2022-7-15 18:50:0;1
2022-7-15 19:0:0;4
2022-7-15 19:10:0;1
2022-7-15 19:20:0;1
2022-7-15 19:30:0;4
2022-7-15 2:0:0;5
2022-7-15 2:20:0;1
2022-7-15 20:0:0;1
2022-7-15 20:10:0;1
2022-7-15 20:20:0;1
2022-7-15 20:30:0;2
2022-7-15 20:40:0;1
2022-7-15 20:50:0;2
2022-7-15 21:0:0;2
2022-7-15 21:10:0;5
2022-7-15 21:20:0;2
2022-7-15 21:30:0;2
2022-7-15 21:50:0;1
2022-7-15 22:0:0;1
2022-7-15 22:10:0;2
2022-7-15 22:20:0;1
2022-7-15 22:50:0;1
2022-7-15 23:10:0;1
2022-7-15 23:30:0;4
2022-7-15 23:50:0;1
2022-7-15 4:20:0;1
2022-7-15 4:30:0;2
2022-7-15 4:40:0;1
2022-7-15 4:50:0;1
2022-7-15 5:0:0;1
2022-7-15 6:0:0;4
2022-7-15 6:20:0;1
2022-7-15 6:30:0;1
2022-7-15 6:40:0;2
2022-7-15 6:50:0;1
2022-7-15 7:0:0;2
2022-7-15 7:10:0;2
2022-7-15 7:20:0;1
2022-7-15 7:30:0;2
2022-7-15 7:40:0;2
2022-7-15 7:50:0;3
2022-7-15 8:0:0;1
2022-7-15 8:20:0;4
2022-7-15 8:30:0;8
2022-7-15 8:40:0;3
2022-7-15 9:0:0;5
2022-7-15 9:10:0;1
2022-7-15 9:20:0;4
2022-7-15 9:30:0;2
2022-7-15 9:40:0;1
2022-7-15 9:50:0;2
2022-7-16 0:10:0;1
2022-7-16 0:20:0;1
2022-7-16 0:50:0;7
2022-7-16 10:0:0;3
2022-7-16 11:0:0;3
2022-7-16 11:10:0;1
2022-7-16 11:20:0;1
2022-7-16 12:0:0;3
2022-7-16 12:25:0;1
2022-7-16 12:30:0;1
2022-7-16 12:40:0;1
2022-7-16 13:0:0;4
2022-7-16 13:10:0;3
2022-7-16 13:20:0;3
2022-7-16 13:30:0;3
2022-7-16 14:0:0;3
2022-7-16 14:30:0;4
2022-7-16 14:50:0;1
2022-7-16 15:10:0;4
2022-7-16 15:40:0;1
2022-7-16 15:46:0;1
2022-7-16 15:50:0;1
2022-7-16 16:0:0;3
2022-7-16 16:10:0;1
2022-7-16 16:17:0;1
2022-7-16 16:20:0;4
2022-7-16 16:40:0;1
2022-7-16 16:50:0;1
2022-7-16 17:0:0;5
2022-7-16 17:10:0;2
2022-7-16 17:20:0;2
2022-7-16 17:30:0;2
2022-7-16 17:50:0;3
2022-7-16 18:0:0;7
2022-7-16 18:10:0;2
2022-7-16 19:0:0;1
2022-7-16 19:30:0;3
2022-7-16 2:0:0;5
2022-7-16 2:20:0;4
2022-7-16 2:30:0;2
2022-7-16 20:0:0;2
2022-7-16 20:30:0;2
2022-7-16 21:0:0;2
2022-7-16 21:10:0;2
2022-7-16 21:20:0;1
2022-7-16 21:30:0;1
2022-7-16 22:0:0;5
2022-7-16 22:10:0;2
2022-7-16 4:30:0;3
2022-7-16 4:40:0;2
2022-7-16 4:50:0;2
2022-7-16 5:20:0;1
2022-7-16 6:0:0;5
2022-7-16 6:30:0;1
2022-7-16 6:40:0;3
2022-7-16 7:0:0;2
2022-7-16 7:10:0;2
2022-7-16 7:30:0;1
2022-7-16 7:50:0;2
2022-7-16 8:0:0;1
2022-7-16 8:20:0;1
2022-7-16 8:30:0;1
2022-7-16 8:50:0;1
2022-7-16 9:0:0;2
2022-7-16 9:30:0;1
2022-7-16 9:40:0;1
2022-7-17 0:0:0;2
2022-7-17 0:10:0;1
2022-7-17 10:0:0;2
2022-7-17 10:30:0;1
2022-7-17 11:0:0;1
2022-7-17 12:0:0;1
2022-7-17 12:50:0;1
2022-7-17 13:0:0;3
2022-7-17 13:10:0;1
2022-7-17 13:20:0;2
2022-7-17 13:30:0;2
2022-7-17 14:0:0;2
2022-7-17 14:10:0;1
2022-7-17 16:0:0;3
2022-7-17 16:30:0;1
2022-7-17 16:50:0;1
2022-7-17 17:0:0;3
2022-7-17 17:10:0;1
2022-7-17 17:20:0;1
2022-7-17 18:0:0;3
2022-7-17 18:10:0;1
2022-7-17 18:20:0;1
2022-7-17 19:30:0;1
2022-7-17 21:0:0;1
2022-7-17 21:10:0;1
2022-7-17 21:20:0;1
2022-7-17 21:30:0;2
2022-7-17 22:0:0;3
2022-7-17 22:10:0;2
2022-7-17 22:20:0;1
2022-7-17 23:0:0;1
2022-7-17 4:0:0;1
2022-7-17 4:20:0;1
2022-7-17 4:30:0;1
2022-7-17 5:10:0;1
2022-7-17 5:20:0;3
2022-7-17 5:30:0;1
2022-7-17 6:0:0;3
2022-7-17 6:10:0;1
2022-7-17 6:20:0;1
2022-7-17 7:0:0;1
2022-7-17 7:10:0;2
2022-7-17 7:30:0;1
2022-7-17 8:30:0;2
2022-7-18 0:10:0;1
2022-7-18 0:40:0;1
2022-7-18 1:0:0;1
2022-7-18 10:0:0;6
2022-7-18 10:10:0;3
2022-7-18 10:20:0;3
2022-7-18 10:30:0;4
2022-7-18 10:50:0;2
2022-7-18 11:0:0;2
