FECHA;TIME;y
2022-07-20;14:30:00;1
2022-07-20;14:40:00;2
2022-07-20;14:50:00;1
2022-07-20;15:10:00;1
2022-07-20;15:20:00;1
2022-07-20;15:30:00;1
2022-07-20;15:40:00;1
2022-07-20;16:00:00;2
2022-07-20;16:10:00;1
2022-07-20;16:40:00;2
2022-07-20;16:50:00;1
2022-07-20;17:00:00;1
2022-07-20;17:20:00;1
2022-07-20;17:30:00;1
2022-07-20;17:40:00;1
2022-07-20;17:50:00;2
2022-07-20;18:10:00;1
2022-07-20;18:30:00;1
2022-07-20;18:40:00;1
2022-07-20;19:00:00;1
2022-07-20;19:10:00;1
2022-07-20;19:20:00;1
2022-07-20;19:30:00;1
2022-07-20;19:50:00;1
2022-07-20;20:00:00;1
2022-07-21;07:20:00;1
2022-07-21;07:30:00;2
2022-07-21;07:40:00;2
2022-07-21;07:50:00;3
2022-07-21;08:00:00;2
2022-07-21;08:10:00;1
2022-07-21;08:20:00;4
2022-07-21;08:30:00;2
2022-07-21;08:40:00;2
2022-07-21;08:50:00;2
2022-07-21;09:00:00;2
2022-07-21;09:10:00;3
2022-07-21;09:20:00;1
2022-07-21;09:30:00;2
2022-07-21;09:50:00;2
2022-07-21;10:00:00;3
2022-07-21;10:10:00;1
2022-07-21;10:20:00;2
2022-07-21;10:30:00;2
2022-07-21;10:40:00;1
2022-07-21;10:50:00;2
2022-07-21;11:00:00;3
2022-07-21;11:20:00;3
2022-07-21;11:40:00;1
2022-07-21;12:00:00;4
2022-07-21;12:40:00;1
2022-07-21;13:00:00;1
2022-07-21;13:30:00;1
2022-07-21;13:40:00;1
2022-07-21;14:10:00;1
2022-07-21;14:30:00;2
2022-07-21;14:40:00;1
2022-07-21;14:50:00;1
2022-07-21;15:00:00;1
2022-07-21;15:10:00;1
2022-07-21;15:20:00;1
2022-07-21;15:40:00;1
2022-07-21;15:50:00;1
2022-07-21;16:00:00;1
2022-07-21;16:10:00;1
2022-07-21;16:40:00;1
2022-07-21;17:10:00;1
2022-07-21;17:40:00;2
2022-07-21;18:00:00;1
2022-07-21;18:10:00;1
2022-07-21;18:20:00;1
2022-07-21;18:30:00;2
2022-07-21;18:50:00;3
2022-07-21;19:00:00;2
2022-07-21;19:20:00;1
2022-07-21;19:50:00;1
2022-07-21;20:10:00;1
